Date d’entrée;N° Inventaire;Cote;Auteurs;Intitulé de l’ouvrage;Edition;Catégorie
17/10/2018;26;500CHA;SRISTHTI D. CHATTERS J.;Cours d’analyse /Analyse vectorielle;PPUR, Lausanne, 2005 ;Mathématiques, Analyse
17/10/2018;27;500CHA;SRISTHTI D. CHATTERS J.;Cours d’analyse /Analyse vectorielle;PPUR, Lausanne, 2005 ;Mathématiques, Analyse
17/10/2018;28;500CHA;SRISTHTI D. CHATTERS J.;Cours d’analyse /Analyse vectorielle;PPUR, Lausanne, 2005 ;Mathématiques, Analyse
17/10/2018;29;500TRO;MARC TROYONOV;Cours de géométrie;PPUR, Lausanne, 2013;Mathématiques, Géometrie
17/10/2018;30;500TRO;MARC TROYONOV;Cours de géométrie;PPUR, Lausanne, 2013;Mathématiques, Géometrie
17/10/2018;31;500TRO;MARC TROYONOV;Cours de géométrie;PPUR, Lausanne, 2013;Mathématiques, Géometrie
17/10/2018;32;500CAI;R.CAIROLI;Algèbre linéaire;PPUR, Lausanne, 2004;Mathématiques, Algèbre
17/10/2018;33;500CAI;R.CAIROLI;Algèbre linéaire;PPUR, Lausanne, 2004;Mathématiques, Algèbre
17/10/2018;34;500CAI;R.CAIROLI;Algèbre linéaire;PPUR, Lausanne, 2004;Mathématiques, Algèbre
17/10/2018;35;500ADA;ARHTUR ADAM et FRANCIS LOUSBERG;Espace math. 5e/6e théorie. Tome I trigonométrie- Analyse;DEBOECK 2015;Mathématiques, Trigonométrie, Analyse
17/10/2018;36;500DES;E. PAQUET et J.M. BOUCHAT;Mathématique à l’usage des classes de 1e ;DEBOECK-H.DESSAIN 1973;Mathématiques
17/10/2018;37;500 BUR;RICHARD.L B J.DOUGLAS F.;Numecal analys;Lengage leanning, India 2017;Mathématiques, Anglais
17/10/2018;38;500JAQ;DANIEL JACQUES;Géométrie spatiale, vade-mecum ;PPUR, Lausanne 2013,  374P;Mathématiques, Géometrie
17/10/2018;39;500JAQ;DANIEL JACQUES;Géométrie spatiale, vade-mecum ;PPUR, Lausanne 2013,  374P;Mathématiques, Géometrie
17/10/2018;40;500JAQ;DANIEL JACQUES;Géométrie spatiale, vade-mecum ;PPUR, Lausanne 2013,  374P;Mathématiques, Géometrie
17/10/2018;41;500DAC;BERNARD DACOROGNA ET CHIARA T.; Analyse avancée pour Ingénieur 3e éd.;"PPUR, Lausanne ; 2016 ";Mathématiques, Analyse
17/10/2018;42;500DAC;BERNARD DACOROGNA ET CHIARA T.; Analyse avancée pour Ingénieur 3e éd.;"PPUR, Lausanne ; 2016 ";Mathématiques, Analyse
17/10/2018;43;500DAC;BERNARD DACOROGNA ET CHIARA T.; Analyse avancée pour Ingénieur 3e éd.;"PPUR, Lausanne ; 2016 ";Mathématiques, Analyse
17/10/2018;44;500HEC;Jean François HECHE ET LES AUTRES;Recherche opérationnelle pour Ingénieur II;PPUR, Lausanne, 2003 ;Mathématiques, Recherche opérationnelle
17/10/2018;45;500HEC;Jean François HECHE ET LES AUTRES;Recherche opérationnelle pour Ingénieur II;PPUR, Lausanne, 2003 ;Mathématiques, Recherche opérationnelle
17/10/2018;46;500HEC;Jean François HECHE ET LES AUTRES;Recherche opérationnelle pour Ingénieur II;PPUR, Lausanne, 2003 ;Mathématiques, Recherche opérationnelle
18/10/2018;47;500SOL;BASSEL SOLAIMAN;Processus stochastiques pour Ingénieur.;PPUR, Lausanne, 2006 ;Mathématiques
18/10/2018;48;500SOL;BASSEL SOLAIMAN;Processus stochastiques pour Ingénieur.;PPUR, Lausanne, 2006 ;Mathématiques
